,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,number_of_reviews,review_scores_rating,minimum_nights,price_per_person,region
0,Entire home/apt,225.0,4,2.0,2.0,t,24,93.0,30,56.25,Central
1,Private room,100.0,2,1.0,1.0,t,9,91.0,30,50.0,Central
2,Entire home/apt,95.0,3,1.0,1.0,t,529,97.0,2,31.666666666666668,Central
3,Private room,40.0,2,1.0,1.0,t,257,98.0,1,20.0,North
4,Entire home/apt,99.0,2,1.0,0.0,t,112,99.0,3,49.5,Central
5,Entire home/apt,139.0,3,1.0,1.0,t,228,99.0,3,46.333333333333336,Central
6,Entire home/apt,40.0,2,1.0,1.0,f,46,92.0,3,20.0,East
7,Entire home/apt,300.0,6,2.0,3.0,f,28,99.0,1,50.0,South
8,Entire home/apt,550.0,5,1.0,2.0,t,91,98.0,1,110.0,Central
9,Entire home/apt,220.0,4,1.0,2.0,t,36,97.0,30,55.0,Central
10,Entire home/apt,150.0,4,2.5,2.0,f,9,98.0,30,37.5,North
11,Entire home/apt,52.0,2,1.0,1.0,t,37,98.0,31,26.0,East
12,Entire home/apt,95.0,6,1.0,2.0,t,164,98.0,2,15.833333333333334,Central
13,Entire home/apt,140.0,6,2.0,3.0,t,33,99.0,30,23.333333333333332,North
14,Entire home/apt,55.0,6,2.0,3.0,f,9,97.0,1,9.166666666666666,South
15,Private room,35.0,1,1.0,1.0,t,38,97.0,30,35.0,North
16,Entire home/apt,265.0,3,1.0,2.0,t,183,94.0,3,88.33333333333333,Central
17,Entire home/apt,59.0,2,1.0,1.0,t,158,99.0,2,29.5,Central
18,Entire home/apt,350.0,4,2.0,2.0,f,30,98.0,2,87.5,North
19,Entire home/apt,105.0,4,1.0,1.0,t,378,99.0,2,26.25,Central
20,Private room,36.0,1,1.0,1.0,t,2,100.0,30,36.0,North
21,Entire home/apt,40.0,2,1.0,1.0,t,264,96.0,3,20.0,East
22,Entire home/apt,130.0,2,1.0,2.0,t,30,97.0,30,65.0,Central
23,Entire home/apt,150.0,2,1.0,0.0,t,169,99.0,2,75.0,Central
