id,property_type,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,longitude,latitude,number_of_reviews,availability_365,review_scores_rating,minimum_nights,listing_url,region,price_per_person
2265,House,Entire home/apt,225.0,4,2.0,2.0,t,-97.71398,30.2775,24,0,93.0,30,https://www.airbnb.com/rooms/2265,East,56.25
5245,House,Private room,100.0,2,1.0,1.0,t,-97.71379,30.27577,9,0,91.0,30,https://www.airbnb.com/rooms/5245,East,50.0
5456,Guesthouse,Entire home/apt,95.0,3,1.0,1.0,t,-97.73448,30.261120000000002,529,334,97.0,2,https://www.airbnb.com/rooms/5456,East,31.666666666666668
5769,House,Private room,40.0,2,1.0,1.0,t,-97.78421999999999,30.456970000000002,257,14,98.0,1,https://www.airbnb.com/rooms/5769,North,20.0
6413,Guesthouse,Entire home/apt,99.0,2,1.0,1.0,t,-97.73725999999999,30.24829,112,0,99.0,3,https://www.airbnb.com/rooms/6413,South,49.5
6448,Guesthouse,Entire home/apt,139.0,3,1.0,1.0,t,-97.76503000000001,30.260270000000002,228,127,99.0,3,https://www.airbnb.com/rooms/6448,South,46.333333333333336
8502,Guest suite,Entire home/apt,40.0,2,1.0,1.0,f,-97.73682,30.236159999999998,46,180,92.0,3,https://www.airbnb.com/rooms/8502,East,20.0
14913,House,Entire home/apt,300.0,6,2.0,3.0,f,-97.82411,30.15645,28,289,99.0,1,https://www.airbnb.com/rooms/14913,South,50.0
21126,House,Entire home/apt,550.0,5,1.0,2.0,t,-97.73988,30.24417,91,139,98.0,1,https://www.airbnb.com/rooms/21126,South,110.0
21145,House,Entire home/apt,220.0,4,1.0,2.0,t,-97.74618000000001,30.294220000000003,36,358,97.0,30,https://www.airbnb.com/rooms/21145,Central,55.0
22166,Condominium,Entire home/apt,150.0,4,2.5,2.0,f,-97.76216,30.389570000000003,9,300,98.0,30,https://www.airbnb.com/rooms/22166,North,37.5
22828,Guesthouse,Entire home/apt,52.0,2,1.0,1.0,t,-97.73225,30.236140000000002,37,249,98.0,31,https://www.airbnb.com/rooms/22828,East,26.0
22982,Guest suite,Entire home/apt,95.0,6,1.0,2.0,t,-97.75596,30.28027,164,244,98.0,2,https://www.airbnb.com/rooms/22982,Central,15.833333333333334
25028,House,Entire home/apt,140.0,6,2.0,3.0,t,-97.73725999999999,30.337659999999996,33,312,99.0,30,https://www.airbnb.com/rooms/25028,Central,23.333333333333332
32396,House,Entire home/apt,55.0,6,2.0,3.0,f,-97.84439,30.20273,9,75,97.0,1,https://www.airbnb.com/rooms/32396,South,9.166666666666666
37324,House,Private room,35.0,1,1.0,1.0,t,-97.69125,30.4303,38,100,97.0,30,https://www.airbnb.com/rooms/37324,North,35.0
39152,Apartment,Entire home/apt,265.0,3,1.0,2.0,t,-97.75412,30.256709999999998,183,4,94.0,3,https://www.airbnb.com/rooms/39152,South,88.33333333333333
39993,House,Entire home/apt,59.0,2,1.0,1.0,t,-97.77789,30.299229999999998,158,107,99.0,2,https://www.airbnb.com/rooms/39993,Central,29.5
40285,House,Entire home/apt,350.0,4,2.0,2.0,f,-97.76323000000001,30.351409999999998,30,364,98.0,2,https://www.airbnb.com/rooms/40285,North,87.5
46929,House,Entire home/apt,105.0,4,1.0,1.0,t,-97.77789,30.299229999999998,378,204,99.0,2,https://www.airbnb.com/rooms/46929,Central,26.25
