,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
425923,1120,3869,3,974912979,M,18,4,95616,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy,False
907791,4816,3201,5,962930182,F,45,6,04240,Five Easy Pieces (1970),Drama,False
735776,5100,3952,4,996682033,M,50,6,193122042,"Contender, The (2000)",Drama|Thriller,False
23526,671,1270,4,975647904,M,18,4,61761,Back to the Future (1985),Comedy|Sci-Fi,False
854759,2110,897,4,974650678,M,50,11,46802,For Whom the Bell Tolls (1943),Adventure|War,False
837830,2293,1949,4,974510066,F,56,3,48130,"Man for All Seasons, A (1966)",Drama,False
603395,5648,1892,3,958871968,M,25,17,48473,"Perfect Murder, A (1998)",Mystery|Thriller,False
649640,1096,1748,3,974930160,M,1,10,80439,Dark City (1998),Film-Noir|Sci-Fi|Thriller,False
623524,1881,2805,3,974693869,M,35,2,95008,Mickey Blue Eyes (1999),Comedy|Romance,False
222321,130,1201,5,977432036,M,35,17,50021,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
715033,2878,185,4,972362497,F,50,20,88005,"Net, The (1995)",Sci-Fi|Thriller,False
547832,3858,2033,4,965876502,F,45,9,63119,"Black Cauldron, The (1985)",Animation|Children's,False
683409,5021,1591,1,962584648,M,50,6,90504,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,False
155241,2638,165,3,980176880,M,25,14,06405,Die Hard: With a Vengeance (1995),Action|Thriller,False
519057,3509,2009,5,966975442,M,18,4,02115,Soylent Green (1973),Sci-Fi|Thriller,False
415196,1255,778,5,974823140,M,25,17,94110,Trainspotting (1996),Drama,False
206564,5005,3168,3,962589813,M,45,16,92807,Easy Rider (1969),Adventure|Drama,False
784588,4274,455,3,965301293,F,45,1,04258,Free Willy (1993),Adventure|Children's|Drama,False
774434,699,416,3,975565601,M,18,0,73505,Bad Girls (1994),Western,False
164403,3778,1527,3,966034130,M,25,0,61832,"Fifth Element, The (1997)",Action|Sci-Fi,False
398086,3491,1777,4,967068240,M,25,16,28542,"Wedding Singer, The (1998)",Comedy|Romance,False
